"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"88","Brandon Coleman","WR","NO",38,26,281,425,74,3,11.2,0.66,0.1,0.06,0.17,72.1
"89","Danny Amendola","WR","NE",29,23,245,248,82,4,8.6,0.99,0.08,0.07,0.16,71.5
"90","Russell Shepard","WR","TB",40,23,341,548,76,2,13.7,0.62,0.12,0.09,0.21,70
"91","Kamar Aiken","WR","BAL",50,29,328,569,106,1,11.4,0.58,0.11,0.07,0.19,67.8
"92","Justin Hardy","WR","ATL",31,21,203,267,48,4,8.6,0.76,0.07,0.07,0.16,65.3
"93","Torrey Smith","WR","SF",49,20,267,660,61,3,13.5,0.4,0.21,0.13,0.35,64.7
"94","Aldrick Robinson","WR","ATL",31,19,314,390,76,2,12.6,0.81,0.1,0.07,0.18,62.4
"95","Deonte Thompson","WR","CHI",36,22,249,491,43,2,13.6,0.51,0.1,0.07,0.18,58.9
"96","Josh Bellamy","WR","CHI",38,19,282,614,49,1,16.2,0.46,0.14,0.09,0.23,56.9
"97","Paul Richardson","WR","SEA",36,21,288,492,96,1,13.7,0.59,0.12,0.08,0.2,56.3
"98","Brice Butler","WR","DAL",32,16,219,444,19,3,13.9,0.49,0.12,0.07,0.2,55.9
"99","Justin Hunter","WR","BUF",23,10,189,358,30,4,15.6,0.53,0.13,0.08,0.21,52.9
"100","Jordan Taylor","WR","DEN",25,16,209,260,82,2,10.4,0.8,0.07,0.06,0.14,48.9
"101","Chester Rogers","WR","IND",34,19,273,401,51,0,11.8,0.68,0.1,0.07,0.17,46.3
"102","Andre Holmes","WR","OAK",25,14,126,212,26,3,8.5,0.59,0.05,0.04,0.1,44.6
"103","Geronimo Allison","WR","GB",22,12,202,294,50,2,13.4,0.69,0.11,0.08,0.19,44.2
"104","Charles Johnson","WR","MIN",37,20,232,501,70,0,13.5,0.46,0.14,0.07,0.21,43.2
"105","Jalin Marshall","WR","NYJ",22,14,162,188,46,2,8.5,0.86,0.07,0.07,0.15,42.2
"106","Darrius Heyward-Bey","WR","PIT",19,6,114,410,18,2,21.6,0.28,0.15,0.07,0.21,41.4
"107","Eric Decker","WR","NYJ",21,9,194,333,30,2,15.9,0.58,0.33,0.19,0.51,40.4
"108","Andre Roberts","WR","DET",25,14,188,359,63,1,14.4,0.52,0.08,0.04,0.12,38.8
"109","Kevin White","WR","CHI",36,19,187,412,54,0,11.4,0.45,0.36,0.25,0.63,38.6
"110","Ricardo Louis","WR","CLE",36,18,205,357,87,0,9.9,0.57,0.07,0.07,0.15,38.5
"111","Charone Peake","WR","NYJ",35,19,186,323,71,0,9.2,0.58,0.09,0.09,0.19,37.6
"112","Bennie Fowler","WR","DEN",24,11,145,287,64,2,12,0.51,0.07,0.05,0.13,37.5
"113","Cody Core","WR","CIN",27,17,200,195,118,0,7.2,1.03,0.11,0.11,0.25,37
"114","Jeff Janis","WR","GB",19,11,93,197,30,1,10.4,0.47,0.04,0.03,0.08,36.1
"115","Harry Douglas","WR","TEN",22,15,210,229,50,0,10.4,0.92,0.09,0.08,0.18,36
"116","Jaron Brown","WR","ARI",23,11,187,291,58,1,12.7,0.64,0.12,0.1,0.24,35.7
"117","Tanner McEvoy","WR","SEA",11,9,140,149,30,2,13.5,0.94,0.06,0.04,0.1,35
"118","Braxton Miller","WR","HOU",28,15,99,202,52,1,7.2,0.49,0.06,0.08,0.16,30.9
"119","Roger Lewis","WR","NYG",19,7,97,333,4,2,17.5,0.29,0.1,0.05,0.15,28.7
"120","Walt Powell","WR","BUF",25,14,142,302,45,0,12.1,0.47,0.15,0.12,0.28,28.2
"121","Jaelen Strong","WR","HOU",24,14,131,178,32,0,7.4,0.74,0.09,0.1,0.22,27.1
"122","Pharoh Cooper","WR","LA",20,14,106,88,72,0,4.4,1.2,0.04,0.07,0.13,24.6
"123","Brandon Tate","WR","BUF",12,8,117,89,52,0,7.4,1.31,0.02,0.03,0.06,24.5
"124","Jarius Wright","WR","MIN",14,11,67,56,42,1,4,1.2,0.06,0.1,0.19,23.7
"125","Neal Sterling","WR","JAC",16,12,110,125,48,0,7.8,0.88,0.07,0.07,0.16,23
"126","Arrelious Benn","WR","JAC",10,5,116,113,53,1,11.3,1.03,0.03,0.02,0.05,22.6
"127","Brittan Golden","WR","ARI",14,8,82,180,12,1,12.9,0.46,0.04,0.03,0.07,22.2
"128","Ryan Grant","WR","WAS",19,9,76,167,25,0,8.8,0.46,0.04,0.04,0.09,16.6
"129","Aaron Burbridge","WR","SF",16,7,88,141,43,0,8.8,0.62,0.04,0.03,0.08,15.8
"130","Cody Latimer","WR","DEN",15,8,76,190,24,0,12.7,0.4,0.06,0.04,0.1,15.6
"131","Tommylee Lewis","WR","NO",11,7,75,75,20,0,6.8,1,0.02,0.02,0.05,15.6
"132","Markus Wheaton","WR","PIT",9,4,51,114,8,1,12.7,0.45,0.12,0.08,0.2,15.1
"133","T.J. Jones","WR","DET",14,5,93,165,30,0,11.8,0.56,0.16,0.11,0.27,14.3
"134","Michael Floyd","WR","NE",6,4,42,59,14,1,9.8,0.71,0.12,0.1,0.23,14.2
"135","Rashard Higgins","WR","CLE",12,6,77,124,31,0,10.3,0.62,0.03,0.03,0.07,13.7
"136","Chris Moore","WR","BAL",16,7,46,163,14,0,10.2,0.28,0.04,0.03,0.07,13.5
"137","De'Anthony Thomas","WR","KC",9,7,35,32,24,0,3.6,1.09,0.01,0.03,0.05,13.4
"138","Alex Erickson","WR","CIN",8,6,71,85,31,0,10.6,0.84,0.02,0.01,0.03,13.1
"139","Keenan Allen","WR","SD",7,6,63,50,18,0,7.1,1.26,0.23,0.19,0.45,12.3
"140","Leonte Carroo","WR","MIA",6,3,29,101,13,1,16.8,0.29,0.09,0.04,0.12,11.9
"141","Trevor Davis","WR","GB",7,3,24,63,8,1,9,0.38,0.02,0.02,0.05,11.4
"142","Nick Williams","WR","ATL",7,5,59,37,41,0,5.3,1.59,0.09,0.11,0.22,10.9
"143","Johnny Holton","WR","OAK",3,2,34,35,14,0,11.7,0.97,0.01,0.01,0.02,9.7
"144","Josh Doctson","WR","WAS",6,2,66,113,15,0,18.8,0.58,0.15,0.07,0.21,8.6
"145","Dwayne Harris","WR","NYG",1,1,13,42,0,1,42,0.31,0.01,0,0.01,8.3
"146","Rashad Greene","WR","JAC",8,5,32,59,17,0,7.4,0.54,0.02,0.03,0.05,8.2
"147","Quan Bray","WR","IND",4,3,36,26,13,0,6.5,1.38,0.01,0.02,0.04,7.3
"148","Michael Campanaro","WR","BAL",1,0,0,-2,0,0,-2,0,0,0.01,0.01,7.2
"149","Tavarres King","WR","NYG",4,2,50,120,6,0,30,0.42,0.17,0.04,0.17,7
"150","Bradley Marquez","WR","LA",7,3,37,49,22,0,7,0.76,0.02,0.02,0.05,6.9
"151","Mike Thomas","WR","LA",9,3,37,113,13,0,12.6,0.33,0.06,0.03,0.09,6.7
"152","Shane Wynn","WR","JAC",3,1,19,25,12,0,8.3,0.76,0.04,0.04,0.09,3.4
"153","Jeremy Butler","WR","SD",2,2,11,10,1,0,5,1.1,0.02,0.03,0.06,3.1
"154","Devin Smith","WR","NYJ",3,1,20,49,6,0,16.3,0.41,0.07,0.04,0.11,3
"155","Damiere Byrd","WR","CAR",1,1,16,13,3,0,13,1.23,0.04,0.03,0.08,2.6
"156","Laquon Treadwell","WR","MIN",3,1,15,59,0,0,19.7,0.25,0.06,0.02,0.07,2.5
"157","Jared Abbrederis","WR","GB",2,1,8,9,2,0,4.5,0.89,0.01,0.03,0.05,1.8
"158","Matthew Slater","WR","NE",1,0,0,49,0,0,49,0,0.02,0,0.02,0.5
"159","Jakeem Grant","WR","MIA",1,0,0,-3,0,0,-3,0,0,0,0,0.1
"160","Demarcus Robinson","WR","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"161","Eric Weems","WR","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"162","Isaiah Burse","WR","SD",4,0,0,64,0,0,16,0,0.03,0.01,0.04,0
"163","Kalif Raymond","WR","DEN",2,0,0,66,0,0,33,0,0.05,0.01,0.06,0
"164","Kasen Williams","WR","SEA",1,0,0,10,0,0,10,0,0.03,0.03,0.06,0
"165","Vince Mayle","WR","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
