,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
22,Ladarius Green\ladarius-green-1,Louisiana,Sun Belt,10,44,794,18.0,7,,,,,44,794,18.0,7
23,Travis Benjamin*\travis-benjamin-1,Miami (FL),ACC,13,43,743,17.3,3,3,44,14.7,0,46,787,17.1,3
24,Aaron Spikes\aaron-spikes-1,Louisiana,Sun Belt,12,23,398,17.3,6,103,339,3.3,2,126,737,5.8,8
25,Alshon Jeffery*\alshon-jeffery-1,South Carolina,SEC,14,88,1517,17.2,9,,,,,88,1517,17.2,9
26,Dane Sanzenbacher*\dane-sanzenbacher-1,Ohio State,Big Ten,13,55,948,17.2,11,4,14,3.5,1,59,962,16.3,12
27,Marcus Rucker\marcus-rucker-1,Memphis,CUSA,12,41,704,17.2,8,1,0,0.0,0,42,704,16.8,8
28,Phillip Payne\phillip-payne-1,UNLV,MWC,11,40,689,17.2,5,,,,,40,689,17.2,5
29,Chip Reeves*\chip-reeves-1,Troy,Sun Belt,13,30,515,17.2,5,1,5,5.0,0,31,520,16.8,5
30,Titus Young*\titus-young-1,Boise State,WAC,13,71,1215,17.1,9,14,94,6.7,1,85,1309,15.4,10
31,Josh Gordon*\josh-gordon-1,Baylor,Big 12,13,42,714,17.0,7,,,,,42,714,17.0,7
32,Daniel Hardy\daniel-hardy-1,Idaho,WAC,8,32,545,17.0,1,,,,,32,545,17.0,1
33,Devonte Christopher*\devonte-christopher-1,Utah,MWC,12,39,660,16.9,6,,,,,39,660,16.9,6
34,Emory Blake*\emory-blake-1,Auburn,SEC,14,33,554,16.8,8,,,,,33,554,16.8,8
35,Derek Moye*\derek-moye-1,Penn State,Big Ten,13,53,885,16.7,8,2,39,19.5,0,55,924,16.8,8
36,Jack Tomlinson\jack-tomlinson-1,Ball State,MAC,10,29,484,16.7,6,,,,,29,484,16.7,6
37,Jamar Newsome*\jamar-newsome-1,UCF,CUSA,14,37,616,16.6,3,3,15,5.0,1,40,631,15.8,4
38,Trae Johnson*\trae-johnson-1,Tulsa,CUSA,12,30,498,16.6,3,,,,,30,498,16.6,3
39,T.J. Simpson\tj-simpson-1,Arizona State,Pac-10,12,29,481,16.6,0,,,,,29,481,16.6,0
40,Taylor Stockemer\taylor-stockemer-1,Arkansas State,Sun Belt,11,34,560,16.5,5,,,,,34,560,16.5,5
41,Cameron Kenney*\cameron-kenney-1,Oklahoma,Big 12,14,33,544,16.5,4,,,,,33,544,16.5,4
42,Rueben Randle*\rueben-randle-1,LSU,SEC,13,33,544,16.5,3,,,,,33,544,16.5,3
