"","Player","Conf","Rec","Yds","YdsCatch","TD","NflYds","NflTD","Height","Wt","fourtyYD","Vertical","WrScore","LogScore"
"84","Sammy Watkins","ACC","101","1464","14.5","12",982,6,"73",211,4.43,34,1342,7.20191631753163
"85","Stefon Diggs","Big Ten","62","792","12.8","5",720,4,"72",195,4.46,35,960,6.86693328446188
"86","Sterling Shepard","Big 12","86","1288","15.0","11",683,8,"70",194,4.48,41,1163,7.05875815251866
"87","T.J. Jones","Ind","70","1108","15.8","9",132,1,"72",188,4.46,33,192,5.25749537202778
"89","Tajae Sharpe","MAC","111","1319","11.9","5",522,2,"74",194,4.55,33.5,642,6.46458830368996
"90","Tavon Austin","Big 12","114","1289","11.3","12",418,4,"68",174,4.34,32,658,6.48920493132532
"91","Taywan Taylor","CUSA","98","1730","17.7","17",231,1,"71",203,4.5,33.5,291,5.67332326717149
"92","Terrance Williams","Big 12","97","1832","18.9","12",736,5,"74",208,4.52,32.5,1036,6.94312242281943
"93","Torrey Smith","ACC","67","1055","15.7","12",841,7,"73",204,4.41,41,1261,7.13966033596492
"94","Travis Benjamin","ACC","41","609","14.9","3",298,2,"70",172,4.31,38,418,6.03548143252476
"95","Trent Taylor","CUSA","136","1803","13.3","12",430,2,"68",181,4.63,33,550,6.30991827822652
"96","Tyler Boyd","ACC","91","926","10.2","6",603,1,"73",197,4.58,34,663,6.49677499018586
"97","Tyler Lockett","Big 12","106","1515","14.3","11",664,6,"70",182,4.4,35.5,1024,6.93147180559945
"98","Willie Snead","MAC","106","1516","14.3","15",990,3,"71",195,4.62,33.5,1170,7.0647590277918
"99","Zay Jones","American","158","1746","11.1","8",316,2,"74",201,4.45,36.5,436,6.07764224334903
